description,ua
Unknown website grabbing / ripping for unknown purposes from 208.66.195.x - Digitalinfinity.org Russia,psycheclone
Some robot from Stanford University (171.64.75.xxx = PubCrawl.Stanford.EDU),PubCrawl (pubcrawl.stanford.edu)
Parallel URL Fetcher downloading tool,puf/0.91beta6a (Linux 2.2.18; i686)
Parallel URL Fetcher downloading tool,puf/0.93.2a (Linux 2.4.18; i686)
WebarooBot - Webaroo web site search / theme based downloading tool (64.124.122.2xx),pulseBot (pulse Web Miner)
PureSight Internet content filter,PureSight
Puxa Rapido download manager,PuxaRapido v1.0
ProgramacionWeb.net PWeBot link checking (Argentina),PWeBot/1.2 Inspector (http://www.programacionweb.net/robot.php)
Fast Search robot (using PycURL Python component- s. below),PycURL
PycURL - Python interface to libcurl,PycURL/7.xx.x
Python URL fetcher - robot used by Naver Japan/Korea,Python-urllib/1.1x
Python URL fetcher - robot used by Google,Python-urllib/2.0a1
Qango.com Web Directory robot,Qango.com Web Directory (http://www.qango.com/)
QEAVis: Quantitative Evaluation of Academic Websites Visibility using Nutch,QEAVis Agent/Nutch-0.9 (Quantitative Evaluation of Academic Websites Visibility; http://nlp.uned.es/qeavis
Quepasa!com (Latin American search) robot,QPCreep Test Rig ( We are not indexing- just testing )
Quepasa!com (Latin American search) robot,QuepasaCreep ( crawler@quepasacorp.com )
Quepasa!com (Latin American search) robot,QuepasaCreep v0.9.1x
QueryN Metasearch robot,QueryN Metasearch
Blacktrees Quicksilver helper application for Mac,"Quicksilver (Blacktree,MacOSX)"
Quicktime for Macintosh,QuickTime\xaa.7.0.4 (qtver=7.0.4;cpu=PPC;os=Mac 10.3.9)
Qweerybot for the Qweery search engine (in development) - Netherland,QweeryBot/3.01 ( http://qweerybot.qweery.nl)
Qweerybot for the Qweery search engine (in development) - Netherland,Qweery_robot.txt_CheckBot/3.01 (http://qweerybot.qweery.com)
Radian6 RSS feed comment crawler,R6_CommentReader_(www.radian6.com/crawler)
Radian6 Rss feed crawler,R6_FeedFetcher_(www.radian6.com/crawler)
gigaBaz - the brainbot (Germany) robot,rabaz (rabaz at gigabaz dot com)
DAUMOA - Daum search Korea robot (211.115.109.xxx),RaBot/1.0 Agent-admin/phortse@hanmail.net
Bot Provider for the All Womans Bot Service?,Rainbot1.1
Intersearch.de (was www.intersearch.de) robot (Germany),ramBot xtreme x.x
giveRAMP Search Engine robot (64.69.43.1xx),RAMPyBot - www.giveRAMP.com/0.1 (RAMPyBot - www.giveRAMP.com; http://www.giveramp.com/bot.html; support@giveRAMP.com)
giveRAMP Search Engine robot (64.69.43.1xx),RAMPyBot/0.8-dev (Nutch; http://lucene.apache.org/nutch/bot.html; nutch-agent@lucene.apache.org)
Rank Exec reciprocal link checking,Rank Exec (rankexec.com) Reciprocal Link Manager 1.x/bot
Rankiva website popularity robot,Rankivabot/3.2 (www.rankiva.com; 3.2; vzmxikn)
Innova/IBM Rational SiteCheck - Rational robot,Rational SiteCheck (Windows NT)
Unknown spider from Raytheon Company - maybe Raytheon High Speed Guard proxy,RAYSPIDER/Nutch-0.9
Read A Blog - RSS feed and blog search engine,ReadABlog Spider (compatible; 1.1; feed update; www.readablog.com)
RealDownload download manager,RealDownload/4.0.0.4x
The REAP Web Crawler for the REAP project,REAP-crawler Nutch/Nutch-1.0-dev (Reap Project; http://reap.cs.cmu.edu/REAP-crawler/; Reap Project)
Reaper robot for SiteSearch,Reaper [2.03.10-031204] (http://www.sitesearch.ca/reaper/)
Reaper robot for SiteSearch,Reaper/2.0x (+http://www.sitesearch.ca/reaper)
REBOL messaging language for distributed Internet apps,REBOL Core 2.x.x.x.x
REBOL/View - machine independent internet client application,REBOL View 1.x.x.x.x
Rebusnet software site - link / submission checking,RebusnetBot (+http://www.rebusnet.biz)
Rebusnet software site - link / submission checking,RebusnetPADBot/1.5x (+http://www.rebusnet.biz)
Online reciprocal link checker,reciprocal links checker (http://www.recip-links.com/)
rediff.com search link checking,RedBot/redbot-1.0 (Rediff.com Crawler; redbot at rediff dot com)
RedCarpet crawler for Pronto price comparison search(66.179.107.1xx),RedCarpet/1.2 (http://www.redcarpet-inc.com/robots.html)
Der Bot for telegenetic.net's security related search (65.220.67.2xx),RedCell/0.1 (InfoSec Search Bot (Coming Soon); http://www.telegenetic.net/bot.html; lhall@telegenetic.net)
Der Bot for telegenetic.net's security related search (65.220.67.2xx),RedCell/0.1 (RedCell; telegenetic.net/bot.html; lhall_at_telegenetic.net)
RedKernel Softwares robot,RedKernel WWW-Spider 2/0 (+http://www-spider.redkernel-softwares.com/)
REL Link Checker Lite free version of Web Link Validator,REL Link Checker Lite x.x
unknown,RepoMonkey Bait & Tackle/v1.01
Rewebber proxy service,Rewebber/1.2 libwww-perl/5.41
Applied Semantics Auto-Categorizer for QWestDex Direct,rico/0.1
RixBot Rebol Indexer for the RIX - Rebol related search (195.204.121.xx),RixBot (http://babelserver.org/rix)
StreamBox VCR user agent,RMA/1.0 (compatible; RealMedia)
Real Media server acting as client,RMA/1.0 (compatible; RealMedia)
Canadian Content search crawler,RoboCrawl (http://www.canadiancontent.net)
Canadian Content Search (207.44.220.xx) robot,RoboCrawl (www.canadiancontent.net)
FindPal Australia metasearch robot (61.68.139.xx),RoboPal (http://www.findpal.com/)
PopJapanSearch robot,Robot/www.pj-search.com
Experimental robot using Wget via attbi.net,Robot: NutchCrawler- Owner: wdavies@acm.org
Supersnooper robot,Robot@SuperSnooper.Com
Netscape Directory / DMOZ Open Directory link crawler,Robozilla/1.0
ROME - Open source Java tools for RSS and Atom feeds,Rome Client (http://tinyurl.com/64t5n) Ver: 0.9
Qualigo.de robot,Rotondo/3.1 libwww/5.3.1
different IPs using the HTTPClient library (mostly link checking),RPT-HTTPClient/0.3-x
Metacarta.com (66.28.xx.xxx) robot,RRC (crawler_admin@bigfoot.com)
RSS Bandit RSS/Atom reader for .NET framework,RssBandit/1.5.0.10 (.NET CLR 1.1.4322.2407; WinNT 5.1.2600.0; http://www.rssbandit.org) (.NET CLR 1.1.4322.2407; WinNT 5.1.2600.0; )
RSS Micro Search - RSS feed search engine,RSSMicro.com RSS/Atom Feed Robot
RSSOwl embedded RSS feed reader,RSSOwl/1.2.3 2006-11-26 (Windows; U; zhtw)
RSSOwl embedded RSS feed reader,RSSOwl/1.2.4 Preview Release 2007-04-15 (Windows; U; zhtw)
Ykoon RssReader news feed reader,RssReader/1.0.xx.x (http://www.rssreader.com) Microsoft Windows NT 5.1.2600.0
Some site scanning tool via diff. IPs- i.e.: - dslx.net (208.35.1x.xxx) - Home.com,RSurf15a 41
Some site scanning tool via diff. IPs- i.e.: - dslx.net (208.35.1x.xxx) - Home.com,RSurf15a 51
Some site scanning tool via diff. IPs- i.e.: - dslx.net (208.35.1x.xxx) - Home.com,RSurf15a 81
rubhub blog spider,Rubbot/1.0 (+http://rubhub.com/)
WebarooBot - Webaroo web site search / theme based downloading tool (64.124.122.2xx),RufusBot (Rufus Web Miner; http://64.124.122.252/feedback.html)
WebarooBot - Webaroo web site search / theme based downloading tool (64.124.122.2xx),RufusBot (Rufus Web Miner; http://www.webaroo.com/rooSiteOwners.html)
unknown robot from rumours.jp (202.214.69.xxx),Rumours-Agent
RX (Reflexive Search) Bar for IE,RX Bar
Search & Links directory spider,S&L Spider (http://search.hirners.com/)
SEO-Tools.net link checking ?,S.T.A.L.K.E.R. (http://www.seo-tools.net/en/bot.aspx)
SafariBookmarkChecker for Mac OS X,SafariBookmarkChecker (+http://www.coriolis.ch/)
sait robot - unknown robot from Samsung International Korea,sait/Nutch-0.9 (SAIT Research; http://www.samsung.com)
Sandcrawler robot from Microsoft (131.107.0.xx),SandCrawler - Compatibility Testing
Sapphire Web Crawler from Carnegie Mellon University's Language Technologies Institute,SapphireWebCrawler/1.0 (Sapphire Web Crawler using Nutch; http://boston.lti.cs.cmu.edu/crawler/; mhoy@cs.cmu.edu)
Sapphire Web Crawler from Carnegie Mellon University's Language Technologies Institute,SapphireWebCrawler/Nutch-1.0-dev (Sapphire Web Crawler using Nutch; http://boston.lti.cs.cmu.edu/crawler/; mhoy@cs.cmu.edu)
WebSavvy Directory robot,savvybot/0.2
SiteSell SBIder Nutch based crawler,SBIder/0.7 (SBIder; http://www.sitesell.com/sbider.html; http://support.sitesell.com/contact-support.html)
SiteSell SBIder Nutch based crawler,SBIder/0.8-dev (SBIder; http://www.sitesell.com/sbider.html; http://support.sitesell.com/contact-support.html)
Softbyte Labs Black Widow web site ripper,SBL-BOT (http://sbl.net)
ScanWeb - regular expression based web page searching tool,ScanWeb
ScholarUniverse - Scholarly experts search robot,ScholarUniverse/0.8 (Nutch;+http://scholaruniverse.com/bot.jsp; fetch-agent@scholaruniverse.com)
URL Spider Pro (USP) used by German Schwarzmann GmbH,schwarzmann.biz-Spider_for_paddel.org+(http://www.innerprise.net/usp-spider.asp)
1X Web Browser,Science Traveller International 1X/1.0
WebWobot UK search engine robot (82.43.129.2xx),ScollSpider/2.0 (+http://www.webwobot.com/ScollSpider.php)
Altavista robot,Scooter-3.0.EU
Altavista robot,Scooter-3.0.FS
Altavista robot,Scooter-3.0.HD
Altavista robot,Scooter-3.0.VNS
Altavista robot,Scooter-3.0QI
Altavista robot,Scooter-3.2
Altavista robot,Scooter-3.2.BT
Altavista robot,Scooter-3.2.DIL
Altavista robot,Scooter-3.2.EX
Altavista robot,Scooter-3.2.JT
Altavista robot,Scooter-3.2.NIV
Altavista robot,Scooter-3.2.SF0
Altavista robot,Scooter-3.2.snippet
Altavista robot,Scooter-3.3dev
Altavista robot,Scooter-ARS-1.1
Altavista robot,Scooter-ARS-1.1-ih
Altavista robot,scooter-venus-3.0.vns
Altavista robot,Scooter-W3-1.0
Altavista robot,Scooter-W3.1.2
Altavista robot,Scooter/1.0
Altavista robot,Scooter/1.0 scooter@pa.dec.com
Altavista robot,Scooter/1.1 (custom)
Altavista robot,Scooter/2.0 G.R.A.B. V1.1.0
Altavista robot,Scooter/2.0 G.R.A.B. X2.0
Altavista robot,Scooter/3.3
Altavista robot,Scooter/3.3.QA.pczukor
Altavista robot,Scooter/3.3.vscooter
Altavista robot,Scooter/3.3_SF
Altavista using Mercator robot,Scooter2_Mercator_x-x.0
Altavista robot,Scooter_bh0-3.0.3
Altavista robot,Scooter_trk3-3.0.3
Scope Navigator mobile browser (Japan),Scope (Mars+)
Some nec.com robot using Research Republic ScoutAbout Research Tool,ScoutAbout
Ant.com search robot,ScoutAnt/0.1; +http://www.ant.com/what_is_ant.com/
ScoutMaster information retrieval software,scoutmaster
Scrub the web robot (66.93.156.xx),Scrubby/2.x (http://www.scrubtheweb.com/)
Scrub the web robot (66.93.156.xx),Scrubby/3.0 (+http://www.scrubtheweb.com/help/technology.html)
URL Search+ search software,Search+
Xtreem Search Engine Studio - SE software,Search-Engine-Studio
Search.ch robot,search.ch V1.4
Search.ch robot,search.ch V1.4.2 (spiderman@search.ch; http://www.search.ch)
Enterprise Search web indexing / site searching tool,Search/1.0 (http://www.innerprise.net/es-spider.asp)
Unknown robot  / website grabber from Chinatelecom (219.142.78.xxx),searchbot admin@google.com
SearchByUSA robot (69.150.7.xxx),SearchByUsa/2 (SearchByUsa; http://www.SearchByUsa.com/bot.html; info@SearchByUsa.com)
Searchday (Germany) search robot,SearchdayBot
Searchexpress spider,SearchExpress Spider0.99
Searchguild forum & directory robot (81.3.75.xxx),SearchGuild/DMOZ/Experiment (searchguild@gmail.com)
Searchguild forum & directory robot (81.3.75.xxx),SearchGuild_DMOZ_Experiment (chris@searchguild.com)
Searchit robot (69.93.107.xx),Searchit-Now Robot/2.2 (+http://www.searchit-now.co.uk)
Searchmee!  Search Engine (prototype) robot by findanisp.com,Searchmee! Spider v0.98a
SearchSight search robot,SearchSight/2.0 (http://SearchSight.com/)
SearchSpider robot,SearchSpider.com/1.1
SearchSpider robot,Searchspider/1.2 (SearchSpider; http://www.searchspider.com; webmaster@searchspider.com)
Janas (Ideare.com / Tiscali.it) robot,SearchTone2.0 - IDEARE
seekport. beta search (Germany) robot,Seekbot/1.0 (http://www.seekbot.net/bot.html) HTTPFetcher/0.3
seekport. beta search (Germany) robot,Seekbot/1.0 (http://www.seekbot.net/bot.html) RobotsTxtFetcher/1.0 (XDF)
seekport. beta search (Germany) robot,Seekbot/1.0 (http://www.seekbot.net/bot.html) RobotsTxtFetcher/1.2
Lookseek search robot / link checking,Seeker.lookseek.com
semaforo.net web filtering software,semaforo.net
Semager.de (was NG-Search) semantic search - Germany,Semager/1.1 (http://www.semager.de/blog/semager-bots/)
Semager.de (was NG-Search) semantic search - Germany,Semager/1.x (http://www.semager.de)
Semantic Discovery domain checking tool,semanticdiscovery/0.x
Sensis Australia search robot,Sensis Web Crawler (search_comments\at\sensis\dot\com\dot\au)
Sensis Australia search robot,Sensis.com.au Web Crawler (search_comments\at\sensis\dot\com\dot\au)
Seznam Search (Czech Republic) robot,SeznamBot/1.0
Seznam Search (Czech Republic) robot,SeznamBot/1.0 (+http://fulltext.seznam.cz/)
Seznam Search (Czech Republic) robot,SeznamBot/2.0-test (+http://fulltext.sblog.cz/)
Unknown robot from Shablast.com - Website has no content - Ignores robots.txt,ShablastBot 1.0
Shareaza P2P peer-to-peer download client,Shareaza v1.x.x.xx
SharewarePlaza File Check Bot - link checking,SharewarePlazaFileCheckBot/1.0+(+http://www.SharewarePlaza.com)
Chikayama-Taura Lab Shim-Crawler used for The Kototoi Project (Japan) - (133.11.36.xx),Shim Crawler
Chikayama-Taura Lab Shim-Crawler used for The Kototoi Project (Japan) - (133.11.36.xx),Shim-Crawler(Mozilla-compatible; http://www.logos.ic.i.u-tokyo.ac.jp/crawler/; crawl@logos.ic.i.u-tokyo.ac.jp)
ShopWiki shopping search based on LittleWiki search,ShopWiki/1.0 ( +http://www.shopwiki.com/)
ShopWiki shopping search based on LittleWiki search,ShopWiki/1.0 ( +http://www.shopwiki.com/wiki/Help:Bot)
Shoula Search Engine crawler,Shoula.com Crawler 2.0
Siets Crawler - Web based site crawling application,SietsCrawler/1.1 (+http://www.siets.biz)
Sigram's Nutch robot - crawler testing,Sigram/Nutch-1.0-dev (Test agent for Nutch development; http://www.sigram.com/bot.html; bot at sigram dot com)
Siigle search (Turkey) robot,Siigle Orumcex v.001 Turkey (http://www.siigle.com)
Slider Search directory robot (194.213.194.2xx),silk/1.0
Slider Search directory robot (194.213.194.2xx),silk/1.0 (+http://www.slider.com/silk.htm)/3.7
SimpleFavPanel - IE newsfeed panel plugin,SimpleFavPanel/1.2
Simpy bookmarking and personal search engine,Simpy 1.x; http://www.simpy.com/
Simpy bookmarking and personal search engine,Simpy/1.x (Simpy; http://www.simpy.com/?ref=bot; feedback at simpy dot com)
Sirketçe search - Turkey,Sirketcebot/v.01 (http://www.sirketce.com/bot.html)
SiteBar online bookmark manager,SiteBar/3.x.x (Bookmark Server; http://sitebar.org/)
SiteBar bookmark server,SiteBar/x.x
SiteBar bookmark server,SiteBar/x.x.x (Bookmark Server; http://sitebar.org/)
Internetseer Web Site Monitoring / Claymont robot,sitecheck.internetseer.com
Internetseer Web Site Monitoring,sitecheck.internetseer.com (For more info see: http://sitecheck.internetseer.com)
SiteRecon website monitoring spider at xx minute intervals,SiteRecon+(xx)
PC Magazin web site downloadmanager,SiteSnagger
Site Spider robot (66.249.17.xx),SiteSpider +(http://www.SiteSpider.com/)
SiteSucker Mac website downloading tool,SiteSucker/1.x.x
SiteTagger.com bookmark organizer,SiteTaggerBot (http://www.sitetagger.com/bot.htm)
SiteTruth - Automatic site legitimacy rating system,SiteTruth.com site rating system
Webwasher.com (217.146.159.xx) internet filter,SiteWinder
Xtreeme SiteXpert sitemap & search engine builder,SiteXpert
Skaffe.com directory link checker,Skampy/0.9.x (http://www.skaffe.com/skampy-info.html)
Skaffe.com directory link checker,Skimpy/0.x (http://www.skaffe.com/skampy-info.html)
Visvo distributed website crawler based on Nutch,Skywalker/0.1 (Skywalker; anonymous; anonymous)
Only.com robot,Slarp/0.1
Sleipnir - Japanese Explorer based browser & search bar,Sleipnir
Sleipnir - Japanese Explorer based browser & search bar,Sleipnir Version 1.xx
Sleipnir - Japanese Explorer based browser & search bar,Sleipnir Version2.x
Sleipnir - Japanese Explorer based browser & search bar,Sleipnir/2.xx
Slider Search directory robot (194.213.194.2xx),Slider_Search_v1-de
Slim Browser (IE based browser) - uses this user agent for favicon.ico only,SlimBrowser
Inktomi (Hotbot-Lycos-NBCi) robot,Slurp/2.0 (slurp@inktomi.com; http://www.inktomi.com/slurp.html)
Inktomi (Hotbot-Lycos-NBCi) robot,Slurp/2.0-KiteWeekly (slurp@inktomi.com; http://www.inktomi.com/slurp.html)
Inktomi (Hotbot-Lycos-NBCi) robot,Slurp/si (slurp@inktomi.com; http://www.inktomi.com/slurp.html)
Inktomi (Hotbot-Lycos-NBCi) robot - 72.30.61.xx(x),Slurpy Verifier/1.0
Slysearch robot (now Turnitin robot),SlySearch (slysearch@slysearch.com)
Slysearch robot (now Turnitin robot),SlySearch/1.0 http://www.plagiarism.org/crawler/robotinfo.html
Slysearch robot (now Turnitin robot),SlySearch/1.x http://www.slysearch.com
Netzip/Smartdownload download manager,SmartDownload/1.2.67 (Win32; Jan 12 1999)
Netzip/Smartdownload download manager,SmartDownload/1.2.77 (Win32; Feb 1 2000)
Netzip/Smartdownload download manager,SmartDownload/1.2.77 (Win32; Jun 19 2001)
Loop Improvements NRS Enterprise search (69.44.155.xx[x]),smartwit.com
SmiffyDCMetaSpider - Robot to check the retro-adding of Dublin Core metadata,SmiffyDCMetaSpider/1.0
Snoopy PHP-client,sna-0.0.1 (mikemuzio@msn.com)
Snoopy PHP-client,sna-0.0.1 mikeelliott@hotmail.com
Unknown bot from bb2.net (66.234.139.xxx) also as Snapbot/1.0,snap.com beta crawler v0
Unknown bot from bb2.net (66.234.139.xxx) - also as snap.com,Snapbot/1.0
Unknown bot from Psinet / Cogentco - not from Snap.com,"Snapbot/1.0 (Snap Shots, +http://www.snap.com)"
My UrlTrends online web ranking service,Snappy/1.1 ( http://www.urltrends.com/ )
Snarfer RSS reader,Snarfer/0.x.x (http://www.snarfware.com/)
Unknown robot from 217.229.156.xx (T-Online Germany),SnoopRob/x.x
Snoopy PHP-client,Snoopy v1.xx
Snoopy PHP-client,Snoopy v1.xx- : User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MyIE2)
Snoopy PHP-client,Snoopy_v0.xx
Snyke.com France robot,SnykeBot/0.6 (http://www.snyke.com)
Link crawler for the social sciences,SocSciBot ()
NetFront browser on Softbank mobile phone,SoftBank/1.0/812SH/SHJ001 Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1
Soft Hypermarket link checking,SoftHypermarketFileCheckBot/1.0+(+http://www.softhypermaket.com)
Softizer.com software directory link checking,Softizerbot (http://www.softizer.com)
Unknown UA from Chinanet (220.181.26.1xx) faking Sogou search robot,sogou develop spider
Unknown UA from Chinanet (220.181.18.xx) faking Sogou search robot,Sogou Orion spider/3.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
Unknown UA from Chinanet (220.181.26.1xx) faking Sogou search robot,sogou spider
Unknown UA from Chinanet (220.181.26.1xx) faking Sogou search robot,Sogou web spider/3.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
Unknown UA from Chinanet (220.181.26.1xx) faking Sogou search robot,sohu agent
Sohu (Search Fox) search robot China (61.135.131.xxx),sohu-search
SOSO search (China) spider,Sosospider+(+http://help.soso.com/webspider.htm)
Default Proxomitron (discontinued) filtering proxy user agent identifier,Space Bison/0.02 [fu] (Win67; X; SK)
Speed Download (Mac) download manager,SpeedDownload/1.x
Speedfind.de robot,speedfind ramBot xtreme 8.1
Entireweb search robot,Speedy Spider (Beta/x.x; speedy@entireweb.com)
Entireweb search spider,Speedy Spider (Entireweb; Beta/1.0; http://www.entireweb.com/about/search_tech/speedyspider/)
Entireweb search robot,Speedy_Spider (http://www.entireweb.com)
Sphere blog and news search robot,Sphere Scout&v4.0 - scout at sphere dot com
Sphider - a lightweight search engine in PHP,Sphider
Only.com robot,Spida/0.1
Search-Info ODP/DMOZ spider,Spider-Sleek/2.0 (+http://search-info.com/linktous.html)
Batsch robot,spider.batsch.com
TerraNautic spider for Schnellsuchen touristic search (Germany),Spider.TerraNautic.net - v:1.04
Yellopet spider,spider.yellopet.com - www.yellopet.com
Maxbot .gov .mil .edu indexing robot,Spider/maxbot.com admin@maxbot.com
Unknown robot from CPE at Kasetsart University (158.108.35.xxx),SpiderKU/0.x
Yahoo Search user agent or spider (202.165.102.xxx),SpiderMan
SpiderMonkey Canada robot,SpiderMonkey/7.0x (SpiderMonkey.ca info at http://spidermonkey.ca/sm.shtml)
Spider.de robot,Spinne/2.0
Medkatalog (medical catalogue) Austria robot,Spinne/2.0 med
Medkatalog (medical catalogue) Austria robot,Spinne/2.0 med_AH
Spock - people search application - via Amazon web services,Spock Crawler (http://www.spock.com/crawler)
Sportsuchmaschine (German sports related search) link checking / robot,sportsuchmaschine.de-Robot (Version: 1.02- powered by www.sportsuchmaschine.de)
Sproose personalized search (38.100.225.xx),sproose/0.1-alpha (sproose crawler; http://www.sproose.com/bot.html; crawler@sproose.com)
SQ Webscanner Mac download manager,SQ Webscanner
Simple page-prefetch for Squid web proxy,Squid-Prefetch
Squidclam is a replacement for SquidClamAV-Redirector,squidclam
SCAVR - Squid helper script for scanning download URLs for viruses,SquidClamAV_Redirector 1.x.x
AOL Search / Pacific Internet Exchange robot,Sqworm/2.9.81-BETA (beta_release; 20011102-760; i686-pc-linux-gnu)
diff. IPs / services i.e.: - Inria.fr robot - Websense (Internet filtering) robot,Sqworm/2.9.85-BETA (beta_release; 20011115-775; i686-pc-linux-gnu)
Time Warner Telecom user robot ?,Sqworm/2.9.89-BETA (beta_release; 20020130-839; i686-pc-linux-gnu) 
Some site scanning tool via diff. IPs i.e.: - choiceone.net (216.153.xxx.xxx) - epix.net (216.108.198.xx),SSurf15a 11 
Rambler search (Russia) robot (81.19.6x.xx),StackRambler/x.x 
Stamina download manager,Stamina/1.4
Star Downloader download manager,Star Downloader
Star Downloader download manager,StarDownloader/1.xx
Experimental search engine spider from 66.92.186.xxx,stat statcrawler@gmail.com
Steeler crawler,Steeler/1.x (http://www.tkl.iis.u-tokyo.ac.jp/~crawler/)
Steeler - University of Tokyo web crawler,Steeler/3.3 (http://www.tkl.iis.u-tokyo.ac.jp/~crawler/)
Strategic Board blog & news search robot,Strategic Board Bot (+http://www.strategicboard.com)
Strategic Board blogs and news aggregator robot,Strategic Board Bot (+http://www.strategicboard.com)
Surfsafely submission verifier,Submission Spider at surfsafely.com
Suchbaer.de (Germany) search robot,suchbaer.de
Suchbaer.de (Germany) search robot,suchbaer.de (CrawlerAgent v0.103)
Suchbot Germany robot,suchbot
Suchknecht Austria robot,Suchknecht.at-Robot
suchpad search Germany robot (213.239.194.xx),suchpadbot/1.0 (+http://www.suchpad.de)
Sunrise XP handheld news / website reader and converter,Sunrise XP/2.x
Sunrise XP web sites and newsfeeds converter and handheld reader,Sunrise/0.42g (Windows XP)
SuperBot website copier,SuperBot/x.x (Win32)
SuperBot website copier,SuperBot/x.x.x.xx (Windows XP)
Ubbi Superdownloads (Brazil) link checking,Superdownloads Spiderman
SurfControl Web Filtering,SURF 
Wanadoo Rechereche robot,SurferF3 1/0
Maskbit Surfmaster bookmark tool,SurfMaster
Whois Source domain name information robot (66.249.26.xx),SurveyBot/2.2 <a href='http://www.whois.sc'>Whois Source</a>
Whois Source domain name information robot (66.249.26.xx),SurveyBot/2.3 (Whois Source)
Yokogao Search Engine robot (Kanazawa University),suzuran
HP Secure Web Browser for OpenVMS,SWB/V1.4 (HP)
unknown,swbot/0.9c libwww/5.3.1
Swooglebot Swoogle's semantic web crawler,Swooglebot/2.0. (+http://swoogle.umbc.edu/swooglebot.htm)
SWSBot - SmartWareSoft (85.186.255.xx) software search engine created for Playfuls.com,SWSBot-Images/1.2 http://www.smartwaresoft.com/swsbot12.html
Sygol Search (Italy) robot,SygolBot http://www.sygol.net
Sylera browser (Japan),Sylera/1.2.x
Mindspring.com user robot,SyncBot
SyncIT link validation,SyncIT/x.x
Syndirella desktop information aggregator (beta),Syndirella/0.91pre
Synomia (France) robot,SynoBot
Syntryx Solution Suite - domain / keyword crawler (216.7.179.xx),Syntryx ANT Scout Chassis Pheromone; Mozilla/4.0 compatible crawler
Szukacz.pl (Polish search) robot,Szukacz/1.x
Szukacz.pl (Polish search) robot,Szukacz/1.x (robot; www.szukacz.pl/jakdzialarobot.html; szukacz@proszynski.pl)
German T-Online browser & internet suite ,T-Online Browser
tags2dir.com directory index,tags2dir.com/0.8 (+http://tags2dir.com/directory/)
TAGword DMOZ survey - ODP link checking robot,Tagword (http://tagword.com/dmoz_survey.php)
Tagyu - del.icio.us bookmark collection online tag generator,Tagyu Agent/1.0
Daumsoft Talkro IR robot,Talkro Web-Shot/1.0 (E-mail: webshot@daumsoft.com- Home: http://222.122.15.190/webshot)
Texas A&M University - Dept. of Computer Science crawler (server or link checking ?),TAMU_CS_IRL_CRAWLER/1.0
Targetblaster user link validation ?,targetblaster.com/0.9k
Target Your News - user submitted links,TargetYourNews.com bot
Trinity College Dublin (Ireland) TCDBOT,TCDBOT/Nutch-0.8 (PhD student research;http://www.tcd.ie; mcgettrs at t c d dot IE)
HTTP header for transfer encoding used as user agent name ?,TE
WinInet Internet client app.,TeamSoft WinInet Component
Tecomac Gmbh (Germany) crawler software - now Arexera Information Technologies,TECOMAC-Crawler/0.x
Tecomi (Germany) beta / test robot (84.201.65.xxx),Tecomi Bot (http://www.tecomi.com/bot.htm)
Teemer crawler for NetSeer search (beta) via Amazon Web Services - see also NetSeer/Nutch,"Teemer (NetSeer, Inc. is a Los Angeles based Internet startup company.; http://www.netseer.com/crawler.html; crawler@netseer.com)"
Teleport (website) downloading tool,Teleport Pro/1.2x(.1xxx)
Teoma crawler (65.214.36.xx[x]),Teoma MP
Teoma crawler (65.214.36.xx[x]),teomaagent crawler-admin@teoma.com
Teoma crawler (65.214.36.xx[x]),teomaagent1 [crawler-admin@teoma.com]
Teoma crawler (65.214.36.xx[x]),teoma_agent1
Teradex Directory robot,Teradex Mapper; mapper@teradex.com; http://www.teradex.com
Teragram multilingual text & data processing software,TeragramCrawler
Terraminds blog search (Germany),terraminds-bot/1.0 (support@terraminds.de)
Terrawiz Indian Search Engine robot,TerrawizBot/1.0 (+http://www.terrawiz.com/bot.html)
Noceans Information Portfolio Manager (66.35.69.x),Test spider
Balihoo - Search Engine for Advertising Media,TestCrawler/Nutch-0.9 (Testing Crawler for Research ; http://balihoo.com/index.aspx; tgautier at balihoo dot com)
Expert HTML online source viewer,The Expert HTML Source Viewer (http://www.expert-html.com)
The Rarest Words - Linguistic experiment crawler via Amazon Web Services,TheRarestParser/0.2a (http://therarestwords.com/)
TheSuBot robot (Germany) for an unknown theme based search engine,TheSuBot/0.1 (www.thesubot.de)
ThumbShots website thumbnail service (Germany) robot,"thumbshots-de-Bot (Version: 1.02, powered by www.thumbshots.de)"
ThumbShots.de (Germany) robot,thumbshots-de-Bot (Version: 1.02- powered by www.thumbshots.de)
Breaking Blogs timbo bot blog robot,timboBot/0.9 http://www.breakingblogs.com/timbo_bot.html
TimelyWeb web page monitoring tool,http://www.timelyweb.com/
TinEye crawler for an open image search project,TinEye/1.1 (http://tineye.com/crawler.html)
Tivra spider from AT&T Labs Research,tivraSpider/1.0 (crawler@tivra.com)
Tjgroup spider,TJG/Spider
TJvHttpGrabber (JEDI Visual Component Library),TJvMultiHttpGrabber Component
Tkensaku Search (Japan) robot from 210.239.46.xxx (www.tken.com),Tkensaku/x.x(http://www.tkensaku.com/q.html)
